,NUMBER,FLUX_AUTO,FLUXERR_AUTO,FLUX_RADIUS,FLUX_APER,FLUXERR_APER,X_IMAGE,Y_IMAGE,X_WORLD,Y_WORLD,FLAGS,CLASS_STAR,MAG_AUTO,MAGERR_AUTO,MAG_ISO,MAGERR_ISO,BACKGROUND,A_IMAGE,B_IMAGE,THETA_IMAGE,THETA_SKY,ISOAREA_IMAGE,FWHM_IMAGE,FWHM_WORLD,ISOAREAF_IMAGE,ELLIPTICITY
0,1,207.1021,47.31963,1.82,159.8132,28.77607,5185.0791,88.2898,24.16312977,-49.060476933,0,0.496,23.930086567164178,0.2481,17.9895,0.076,-0.1098524,2.065,0.671,-59.66,30.36,11,7.03,0.0005206236,47,0.675
1,2,459340.5,342.8325,9.981,31592.5,28.77607,8976.7109,20.8242,23.734745461,-49.064578854,19,0.975,15.56528656716418,0.0008,12.905,0.0024,-0.2584753,11.943,2.247,88.98,-0.68,381,14.91,0.001103351,526,0.812
2,3,1180687.0,272.8389,8.486,90439.52,28.86402,8990.7422,31.8123,23.733167752,-49.06375924,19,0.02,14.540286567164179,0.0003,11.097,0.0007,-0.1084272,9.695,4.713,-3.88,86.47,1267,14.04,0.001038965,1456,0.514
3,4,698249.6,269.7242,8.8,48262.55,28.71728,9002.3252,21.9248,23.731852454,-49.064485967,19,0.982,15.11058656716418,0.0004,12.4638,0.0014,-0.2636681,8.279,2.068,-86.92,3.42,315,11.73,0.0008682694,440,0.75
4,5,5546.085,124.858,3.319,1807.2,28.80541,5323.2432,33.1263,24.147517635,-49.064555737,2,0.026,20.36058656716418,0.0244,15.5347,0.0162,-0.1550721,3.551,2.691,53.11,-36.87,157,7.97,0.0005902067,196,0.242
5,6,14293.66,104.6052,1.24,23936.35,28.74669,6921.5083,25.0347,23.966942087,-49.064947555,0,0.986,19.33268656716418,0.0079,13.1439,0.0022,-0.3711089,2.917,2.287,-17.04,73.1,213,9.96,0.0007375857,293,0.216
6,7,26442.5,103.3865,2.731,11481.13,28.68784,7182.8628,18.88,23.937411745,-49.065342481,0,0.99,18.664786567164178,0.0042,13.8954,0.0037,-0.5083387,2.888,2.283,-6.31,83.88,168,8.73,0.0006466069,210,0.209
7,8,16596.31,72.37927,1.364,12278.1,28.62887,2780.3018,22.057,24.434824895,-49.065124099,3,0.966,19.17058656716418,0.0047,14.4623,0.0037,-0.9346768,2.107,1.529,72.04,-18.11,45,5.55,0.0004106465,73,0.274
8,9,15199.33,74.95993,2.946,6042.567,28.86402,2775.5125,20.0012,24.435366725,-49.065275132,3,0.98,19.26598656716418,0.0054,14.8918,0.0051,-0.9573262,2.699,1.27,60.59,-29.52,32,11.1,0.0008213189,64,0.529
9,10,201.1188,47.31963,1.737,149.3728,28.74669,5153.7188,20.4879,24.166670271,-49.065496744,0,0.456,23.96198656716418,0.2555,19.2137,0.1369,-0.08018572,1.839,0.668,-69.48,20.53,9,6.61,0.0004895789,16,0.637
10,11,477.5637,114.4417,4.426,109.0436,28.86402,2996.988,16.7587,24.410345117,-49.065565483,2,0.429,23.02298656716418,0.2602,19.4666,0.1673,-0.5277027,2.162,0.866,56.21,-33.89,7,8.19,0.0006060349,15,0.599
11,12,154.6753,43.11513,2.465,78.99088,28.74669,9740.8975,21.3244,23.648412087,-49.064170058,0,0.471,24.24698656716418,0.3027,19.5231,0.164,-0.3790745,2.056,0.57,-50.26,39.95,9,6.46,0.0004781237,13,0.723
