,NUMBER,FLUX_AUTO,FLUXERR_AUTO,FLUX_RADIUS,FLUX_APER,FLUXERR_APER,X_IMAGE,Y_IMAGE,X_WORLD,Y_WORLD,FLAGS,CLASS_STAR,MAG_AUTO,MAGERR_AUTO,MAG_ISO,MAGERR_ISO,BACKGROUND,A_IMAGE,B_IMAGE,THETA_IMAGE,THETA_SKY,ISOAREA_IMAGE,FWHM_IMAGE,FWHM_WORLD,ISOAREAF_IMAGE,ELLIPTICITY
0,1,304.6511,66.5005,1.778,280.7368,37.42828,9430.668,90.3409,23.680880389,-49.05989585,0,0.416,20.35695816785313,0.2371,18.224,0.1011,0.01407401,1.412,1.136,-61.06,29.18,12,7.57,0.0005604931,32,0.196
1,2,5539.236,232.2149,5.845,421.8146,37.35197,7151.0,27.4983,23.938386907,-49.065389444,19,0.576,17.20785816785313,0.0455,18.0062,0.0877,0.002724602,4.173,1.112,87.23,-2.58,22,12.91,0.0009558655,36,0.734
2,3,4732.919,196.439,4.24,785.7346,37.46637,6907.8691,31.5698,23.965857602,-49.065144026,1,0.741,17.37865816785313,0.0451,17.5017,0.0609,-0.07533442,3.049,1.051,87.34,-2.49,30,10.66,0.0007887472,44,0.655
3,4,196.6797,50.67344,1.654,175.1638,37.50443,9332.2256,35.3584,23.691960407,-49.064013958,0,0.468,20.832058167853127,0.2798,18.666,0.1259,-0.3300852,1.507,0.639,60.69,-29.08,8,5.85,0.0004329125,22,0.576
4,5,332.0039,65.96203,2.255,190.7904,37.39014,4697.3086,23.3696,24.215612751,-49.065960829,0,0.354,20.263558167853127,0.2158,18.6028,0.1188,0.1084391,2.198,0.761,74.83,-15.19,12,7.73,0.0005723656,22,0.654
5,6,1578.088,83.6069,1.003,3083.19,37.42828,1578.266,20.4576,24.568012078,-49.065555811,0,0.957,18.571158167853127,0.0575,15.9626,0.0171,0.04365425,1.892,1.376,70.99,-19.24,46,4.32,0.0003195373,59,0.272
6,7,241.2592,58.51265,2.026,149.0736,37.50443,4646.0312,21.1716,24.221406369,-49.066122007,2,0.45,20.61025816785313,0.2634,18.6043,0.119,0.439317,2.176,0.589,-63.5,26.49,10,6.76,0.0005001985,22,0.73
7,8,797.61,83.17924,1.175,1111.888,37.35197,2733.5056,19.5963,24.43749173,-49.065974511,0,0.853,19.311958167853128,0.1133,16.9969,0.0396,-0.191732,2.193,1.121,23.1,-67.04,34,4.37,0.0003235961,47,0.489
8,9,290.8268,57.28066,4.078,131.469,37.42828,9019.1475,15.6753,23.727316895,-49.065617117,2,0.407,20.40735816785313,0.2139,18.8338,0.1329,-0.85116,2.091,0.561,40.7,-49.13,6,6.46,0.0004785074,18,0.732
9,10,213.949,46.25831,1.365,191.1974,37.39014,8886.3184,17.4407,23.742324899,-49.065545182,0,0.422,20.740658167853127,0.2348,17.7444,0.0804,-1.481252,0.914,0.839,-72.81,17.46,6,5.21,0.0003855507,49,0.083
10,11,203.4145,47.02296,1.789,185.1261,37.42828,9381.1191,16.0345,23.686422366,-49.065420556,1,0.352,20.795458167853127,0.251,19.8224,0.2583,-0.1943489,1.153,0.74,76.61,-13.05,4,5.5,0.000407164,11,0.359
11,12,666.2712,63.76268,1.247,817.5174,37.50443,1587.8112,13.6466,24.566937492,-49.066063515,0,0.755,19.507358167853127,0.1039,17.5483,0.0489,0.01218322,1.539,0.961,82.22,-8.06,21,5.1,0.0003778028,26,0.376
12,13,10639.11,185.8026,5.395,747.4347,37.31376,8964.4668,14.8913,23.733494045,-49.065699566,1,0.739,16.49915816785313,0.019,17.4068,0.0498,-1.075254,1.646,1.476,-76.6,13.7,30,6.15,0.0004553266,35,0.104
13,14,360.6434,67.56458,2.323,199.7521,37.39014,4755.6201,13.885,24.209024727,-49.066664317,2,0.364,20.173758167853126,0.2035,18.5594,0.1192,0.07679895,1.514,1.011,-83.04,6.94,9,5.71,0.0004226084,24,0.333
14,15,10896.18,297.9983,11.868,321.4121,37.54245,8978.9385,14.2053,23.731858638,-49.065743916,19,0.627,16.47325816785313,0.0297,17.8787,0.0812,-0.857888,1.978,1.206,-24.93,65.31,20,9.25,0.0006843994,39,0.39
15,16,9571.891,176.7527,9.81,160.1092,37.50443,8957.9922,13.7521,23.734224797,-49.065786764,17,0.418,16.613958167853127,0.0201,19.7116,0.2631,-1.18852,1.635,0.486,41.57,-48.26,6,5.31,0.0003927673,14,0.703
16,17,216.6635,43.88448,0.954,243.4568,37.54245,8322.543,12.2572,23.806017069,-49.066156581,0,0.451,20.726958167853127,0.22,18.9985,0.1209,-0.343872,1.14,0.623,29.45,-60.37,7,5.01,0.0003710137,11,0.453
