radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
22.559192,0.618,-48.605259,0.221,16.512,0.065,8,17.086,0.089,8,NA,NA,0,16.822,0.059,8,16.394,0.089,8,16.101,0.228,8,NA,NA,0,NA,NA,0
22.559618,0.407,-48.92666,0.189,13.446,0.074,8,14.125,0.038,8,NA,NA,0,13.776,0.025,8,13.334,0.041,8,13.178,0.084,8,13.042,0.119,4,NA,NA,0
22.562403,0.218,-48.860788,0.2,12.5,0.062,9,13.069,0.037,9,NA,NA,0,12.775,0.029,9,12.376,0.066,9,12.299,0.076,9,12.261,0.075,4,NA,NA,0
22.56497,0.228,-48.600455,0.312,17.411,0.207,1,18.56,0.3,1,NA,NA,0,18.079,0.126,3,17.293,0.182,3,NA,NA,0,NA,NA,0,NA,NA,0
22.565199,0.313,-48.841236,0.181,15.744,0.079,9,17.331,0.134,9,NA,NA,0,16.571,0.067,9,15.147,0.069,9,14.187,0.068,9,NA,NA,0,NA,NA,0
22.567414,0.288,-48.893591,0.277,16.033,0.115,8,16.777,0.051,8,NA,NA,0,16.426,0.075,8,15.919,0.081,8,15.686,0.103,8,NA,NA,0,NA,NA,0
22.571902,0.351,-48.821073,0.316,16.742,0.163,9,17.486,0.155,9,NA,NA,0,17.079,0.069,9,16.522,0.094,9,16.241,0.185,9,NA,NA,0,NA,NA,0
22.573119,0.373,-48.88538,0.165,16.152,0.056,9,17.628,0.176,9,NA,NA,0,16.879,0.046,9,15.591,0.045,9,15.1,0.138,9,NA,NA,0,NA,NA,0
22.582371,0.222,-48.531125,0.158,NA,NA,0,NA,NA,0,NA,NA,0,18.801,0.08,2,17.457,0.198,2,NA,NA,0,NA,NA,0,NA,NA,0
22.5887,0.37,-48.838317,0.367,18.171,0.35,1,18.433,0.339,1,NA,NA,0,18.031,0.081,5,17.321,0.166,5,NA,NA,0,NA,NA,0,NA,NA,0
22.592994,0.286,-48.669366,0.211,13.305,0.043,6,13.964,0.039,6,NA,NA,0,13.606,0.016,6,13.076,0.07,6,12.943,0.078,6,12.824,0.141,3,NA,NA,0
22.5971,0.162,-48.63011,0.938,16.542,0.093,1,17.495,0.117,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
22.597843,0.543,-49.003007,0.204,NA,NA,0,NA,NA,0,NA,NA,0,18.669,0.147,2,17.374,0.086,2,16.711,0.097,2,NA,NA,0,NA,NA,0
22.59858,0.145,-48.890684,0.609,NA,NA,0,NA,NA,0,NA,NA,0,18.291,0.195,1,17.374,0.223,1,NA,NA,0,NA,NA,0,NA,NA,0
22.600061,0.243,-48.934237,0.193,15.374,0.05,6,16.448,0.061,6,NA,NA,0,15.907,0.03,6,14.967,0.032,6,14.599,0.099,6,NA,NA,0,NA,NA,0
22.605714,0.89,-48.985134,0.344,NA,NA,0,NA,NA,0,NA,NA,0,18.161,0.131,5,16.973,0.028,4,16.176,0.156,5,NA,NA,0,NA,NA,0
22.609599,0.372,-48.925601,0.282,13.598,0.053,6,14.254,0.049,6,NA,NA,0,13.881,0.034,6,13.419,0.041,6,13.269,0.091,6,13.223,0.205,3,NA,NA,0
22.610976,0.319,-48.985464,0.312,NA,NA,0,NA,NA,0,NA,NA,0,18.11,0.02,3,17.226,0.164,3,16.58,0.25,1,NA,NA,0,NA,NA,0
22.613232,0.241,-48.857703,0.234,16.054,0.083,4,17.102,0.127,4,NA,NA,0,16.536,0.08,4,15.617,0.087,4,15.358,0.028,4,NA,NA,0,NA,NA,0
